airport_icao,le_ident,he_ident,length_ft,length_m,width_ft,width_m,surface,lighted,closed,le_latitude,le_longitude,le_elevation_ft,le_heading_deg,le_displaced_threshold_ft,le_displaced_threshold_m,he_latitude,he_longitude,he_elevation_ft,he_heading_deg,he_displaced_threshold_ft,he_displaced_threshold_m,centerline_bearing_deg
KAIT,16,34,4000,1219.2,75,22.9,asphalt,true,false,46.5559998,-93.6764984,1205,164,0,0,46.5453987,-93.6722031,1205,344,0,0,164.4
KAIV,06,24,5001,1524.3,80,24.4,asphalt,true,false,33.103199,-88.2049026,142,62,200,61,33.1096993,-88.1906967,150,242,0,0,61.4
KAIZ,04,22,6497,1980.3,100,30.5,asphalt,true,false,38.088902,-92.556297,863,37,0,0,38.1031,-92.542702,869,217,0,0,37
KAJG,04,22,4000,1219.2,100,30.5,asphalt,true,false,38.6020012,-87.7298965,428,40.6,0,0,38.6104012,-87.7208023,428,220.6,0,0,40.2
KAJG,13,31,4500,1371.6,75,22.9,asphalt,true,false,38.6109009,-87.733902,427,130.9,0,0,38.6027985,-87.7220001,429,310.9,0,0,131.1
KAJO,07,25,3200,975.4,60,18.3,asphalt,true,false,33.8978996,-117.6080017,517,91,194,59.1,33.8977013,-117.5970001,532,271,0,0,91.2
KAJR,06,24,5503,1677.3,100,30.5,asphalt,true,false,34.4958,-83.5643997,1408,57,1390,423.7,34.5040016,-83.5490036,1447,237,0,0,57.1
KAJZ,03,21,5598,1706.3,75,22.9,asphalt,true,false,38.7807007,-108.0699997,5111,41.7,0,0,38.792099,-108.0569992,5193,221.7,0,0,41.6
KAK,11,29,1949,594.1,,,unknown,false,false,,,,,0,0,,,,,0,0,
KAKH,03,21,3769,1148.8,100,30.5,asphalt,true,false,35.198101,-81.1529007,797,28.3,0,0,35.2071991,-81.1468964,783,208.3,81,24.7,28.3
KAKO,11,29,7001,2133.9,100,30.5,asphalt,true,false,40.1803017,-103.2330017,4714,119.3,0,0,40.1708984,-103.2109985,4668,299.3,0,0,119.2
KAKQ,03,21,4337,1321.9,75,22.9,asphalt,true,false,36.981499,-77.003304,109,17,298,90.8,36.992901,-76.999001,113,197,470,143.3,16.8
KAKR,01,19,2336,712,100,30.5,asphalt,true,true,41.0345001,-81.4648972,1044,1,0,0,41.0410004,-81.464798,1043,181,190,57.9,0.7
KAKR,07,25,6336,1931.2,150,45.7,asphalt,true,false,41.0332985,-81.4777985,1060,62,369,112.5,41.0415001,-81.4576034,1054,242,0,0,61.7
KALB,01,19,8500,2590.8,150,45.7,asphalt,true,false,42.737202,-73.804298,285,358,0,0,42.756901,-73.805099,279,178,0,0,358.3
KALB,10,28,7200,2194.6,150,45.7,asphalt,true,false,42.7491989,-73.8121033,277,88,0,0,42.7498016,-73.7853012,278,268,1201,366.1,88.2
